"health_officer_region","county","adj_rate_100k","adj_sev_100k","adj_sev_joint_rate","inf_q_rank","sev_q_rank","rank_sum","priority_tier","total_cnty_pop","cumulative_infected","cumulative_severe","inf_rate_100k","sev_rate_100k","pop_prop"
"Southern California","Imperial",45664.010651083,1168.1515037837,1380.40677123404,1,1,2,"Top Priority",179639,78623,1959,43767.2220397575,1090.52043264547,0.00459328232555773
"Southern California","Inyo",25252.5384127141,774.026516005102,718.461376860781,1,1,2,"Top Priority",18731,5037,207,26891.2497997971,1105.11985478618,0.000478942608453742
"Central California","Kings",24395.3650756363,738.349576126293,900.485203162149,1,1,2,"Top Priority",152405,34815,803,22843.7387224829,526.885600866113,0.00389692212062317
"Central California","Tulare",25628.5457393991,716.23125865311,762.220074495956,1,1,2,"Top Priority",474792,112499,2664,23694.3756423866,561.087802658849,0.0121402017485969
"Central California","Kern",25898.2590670008,709.716714580949,725.377648365903,1,1,2,"Top Priority",903372,218554,5028,24193.1341684267,556.58134190566,0.0230987850132974
"Central California","Merced",24146.0102801316,679.828015206095,751.973440887063,1,1,2,"Top Priority",285600,64591,1536,22615.8963585434,537.81512605042,0.00730265383451972
"Southern California","San Bernardino",23429.7319496087,652.520654057394,651.153141505825,2,2,4,"Second Priority",2170593,487857,12044,22475.747410961,554.871410715873,0.0555010129363853
"Greater Sierra Sacramento","Colusa",21892.3019708116,644.864817493639,792.880488980899,2,2,4,"Second Priority",21905,4627,135,21123.0312713992,616.297648938598,0.000560100252959224
"Central California","Stanislaus",20911.0939760746,600.060211621377,595.361171211721,2,2,4,"Second Priority",545704,108872,2882,19950.7425270843,528.125137437145,0.0139533872833079
"Central California","San Joaquin",20054.849471005,556.138562499268,569.52125936573,2,2,4,"Second Priority",784528,150261,3835,19153.0448881366,488.828951930333,0.020060001426779
"Rural North","Tehama",19900.2642134907,553.30943143557,538.715540451441,2,2,4,"Second Priority",64677,12645,407,19550.9995825409,629.280888105509,0.00165375960103372
"Greater Sierra Sacramento","Sacramento",19693.0001427614,547.592214731719,543.381655733036,2,2,4,"Second Priority",1581831,307288,8323,19426.0954552035,526.16240293685,0.0404466534233619
"Greater Sierra Sacramento","Sutter",19634.0037364313,538.876825625156,549.356604678499,2,2,4,"Second Priority",98151,18794,519,19148.0473963587,528.777088363848,0.0025096735872267
"Greater Sierra Sacramento","Yuba",18377.4687903211,523.75937332033,535.38231775673,2,2,4,"Second Priority",83297,14416,368,17306.7457411431,441.79262158301,0.00212986399318624
"Bay Area","Solano",18795.2616102503,517.960223335395,521.170690427362,2,2,4,"Second Priority",446745,84328,2477,18876.092625547,554.455002294374,0.0114230535269696
"Southern California","San Luis Obispo",11645.3607729649,353.176601994543,331.632894896185,3,3,6,"Third Priority",280251,35294,1250,12593.7106379638,446.028738523681,0.00716588249221984
"Rural North","Lassen",10072.9587642484,348.386409081571,311.356688381143,3,3,6,"Third Priority",28232,2975,102,10537.6877302352,361.292150750921,0.000721878582129414
"Greater Sierra Sacramento","Butte",9864.73660347056,329.872909328599,297.370338138328,4,3,7,"Third Priority",205860,20841,684,10123.8705916642,332.264645875838,0.00526374061055402
"Greater Sierra Sacramento","Sierra",11677.385801187,319.691861441855,259.238123145396,3,3,6,"Third Priority",3152,404,21,12817.2588832487,666.243654822335,0.0000805951151484809
"Bay Area","Monterey",10417.1397762595,317.14338957631,313.159044001378,3,3,6,"Third Priority",436476,44136,1307,10111.8961867319,299.443726573741,0.0111604801648313
"Rural North","Lake",10294.5835542675,311.433211413331,279.925581471703,3,3,6,"Third Priority",66446,6923,263,10418.9868464618,395.810131535382,0.00169899207523984
"Central California","Madera",11181.9961581875,307.3921058767,306.187354935008,3,3,6,"Third Priority",158457,16943,448,10692.4907072581,282.726544109758,0.00405166883283085
"Rural North","Siskiyou",10466.54691658,292.330263283797,278.598326483636,3,3,6,"Third Priority",42961,4742,189,11037.9181117758,439.933893531342,0.00109849198664146
"Greater Sierra Sacramento","Yolo",10052.1895701827,290.110764340728,285.129397572034,3,3,6,"Third Priority",220381,22470,567,10195.9787821999,257.281707588222,0.00563503555569079
"Rural North","Glenn",9375.82816920052,289.504386232752,315.29709612653,4,3,7,"Third Priority",28039,2538,83,9051.67801990085,296.016263062163,0.000716943665497543
"Rural North","Modoc",11248.2409722501,287.453558096803,214.09207649612,3,3,6,"Third Priority",8446,1011,36,11970.1633909543,426.237272081459,0.00021596013405586
"Central California","Mariposa",10210.3072524952,284.244729836184,191.969268143126,3,3,6,"Third Priority",16860,1900,77,11269.2763938316,456.702253855279,0.000431102043592445
"Rural North","Mendocino",9849.16319916601,284.188713284733,284.978872664568,4,3,7,"Third Priority",89316,9088,339,10175.1086031618,379.551256213892,0.00228376691135841
"Bay Area","Santa Cruz",9594.9883686876,283.403166305923,287.773810477672,4,3,7,"Third Priority",263101,26333,841,10008.7038817792,319.649108137179,0.00672736528892147
"Greater Sierra Sacramento","Plumas",11885.3995412808,282.76995063313,443.579875893327,3,4,7,"Third Priority",18955,2418,95,12756.5286204168,501.187021893959,0.00048467018008866
"Bay Area","San Benito",8516.54716000744,282.448900692576,266.887322268683,4,4,8,"Third Priority",65082,5291,160,8129.74401524231,245.843704864632,0.00166411525510578
"Central California","Calaveras",9451.04615711802,278.057826853306,211.351862820725,4,4,8,"Third Priority",44605,4676,200,10483.1296939805,448.380226432014,0.00114052827131916
"Rural North","Humboldt",9136.81896849998,278.003748895642,240.27123868143,4,4,8,"Third Priority",134388,12785,421,9513.49822900854,313.27201833497,0.00343623614675573
"Greater Sierra Sacramento","El Dorado",9930.55114034106,276.704519001889,254.329542844676,3,4,7,"Third Priority",187285,18918,706,10101.1826894839,376.965587206664,0.00478878684663174
"Rural North","Shasta",8927.35153688454,274.017295888085,243.947349143617,4,4,8,"Third Priority",178958,16214,586,9060.226421842,327.451133785581,0.00457586948500693
"Bay Area","Sonoma",9193.60693368062,269.803520977035,263.005985440637,4,4,8,"Third Priority",479826,46322,1614,9653.91621129326,336.371934826375,0.0122689186932852
"Southern California","Riverside",9069.38239161096,267.393998012312,264.165280396422,4,4,8,"Third Priority",2431254,216609,6391,8909.35295119309,262.868462118726,0.0621659886057122
"Bay Area","Santa Clara",8986.25525679918,265.654605091156,287.598142184385,4,4,8,"Third Priority",1911749,173074,4983,9053.17591378366,260.651372120503,0.0488824970780435
"Central California","Fresno",9018.99925746807,264.477425402178,268.956680747442,4,4,8,"Third Priority",1012424,85959,2217,8490.4150830087,218.979399935205,0.025887191896918
"Southern California","Mono",9078.98371263047,264.249614847016,214.937991250921,4,4,8,"Third Priority",13273,1244,41,9372.4101559557,308.897762374746,0.000339384188885085
"Bay Area","Marin",9246.12654530779,262.94477946083,247.625236855527,4,4,8,"Third Priority",254744,24318,926,9546.0540778193,363.502182583299,0.00651368084180984
"Rural North","Del Norte",10247.0917834363,262.31313583765,256.589794894088,3,4,7,"Third Priority",26382,2732,81,10355.5454476537,307.027518762793,0.000674574977108891
"Southern California","Ventura",9002.87630113729,257.298478702163,254.499073735041,4,4,8,"Third Priority",825937,74380,2247,9005.52947742988,272.054648235882,0.0211188095242357
"Southern California","San Diego",8707.62025761423,256.853384406783,254.676097945594,4,4,8,"Third Priority",3297860,287256,8248,8710.37581947081,250.101581025271,0.0843246847853963
"Southern California","Santa Barbara",9026.28093414021,256.610717535302,251.097480761935,4,4,8,"Third Priority",442614,40150,1153,9071.10936391528,260.497860438215,0.0113174258554346
"Bay Area","Contra Costa",8987.64980698867,256.553036259079,257.880843061354,4,4,8,"Third Priority",1146536,103042,3195,8987.24505815779,278.665475833293,0.029316370857195
"Bay Area","San Francisco",9345.15582290883,254.357415984643,259.857901562676,4,4,8,"Third Priority",848019,85116,2379,10037.0392644504,280.536167232102,0.0216834355815671
"Los Angeles","Los Angeles",8897.77562358722,254.200406520663,251.241231215606,4,4,8,"Third Priority",9825708,886156,25109,9018.74959036031,255.543926198499,0.251238600150809
"Bay Area","San Mateo",8816.09183570866,252.07124306274,270.95525013743,4,4,8,"Third Priority",749075,67986,2152,9075.9937255949,287.287654774221,0.0191534853679722
"Greater Sierra Sacramento","Nevada",9201.18781059713,251.261990183469,285.209315464071,4,4,8,"Third Priority",100400,9876,399,9836.65338645418,397.410358565737,0.00256717942922192
"Southern California","Orange",8809.12905101451,250.997363781652,253.962469964444,4,4,8,"Third Priority",3142277,277514,8110,8831.62114606701,258.093096184709,0.0803465027422028
"Bay Area","Alameda",8871.04192047036,250.627709229236,265.828615720644,4,4,8,"Third Priority",1656037,149041,4141,8999.85930266051,250.054799500253,0.0423440649445257
"Central California","Tuolumne",9285.82521258665,248.662718486934,184.657283486522,4,4,8,"Third Priority",53387,5447,207,10202.8583737614,387.734841815423,0.0013650797628274
"Greater Sierra Sacramento","Placer",8816.76273338735,238.686257359644,213.838203924775,4,4,8,"Third Priority",410706,36679,1173,8930.71929798932,285.605761785803,0.0105015537316536
"Bay Area","Napa",9114.89725678599,236.396223866657,244.273196124566,4,4,8,"Third Priority",134484,12673,402,9423.42583504357,298.920317658606,0.00343869082031355
"Greater Sierra Sacramento","Amador",8013.00369129894,221.809170960006,269.742815064351,4,4,8,"Third Priority",40122,3531,140,8800.65799312098,348.935745974777,0.00102590013007213
"Rural North","Trinity",7051.52234106993,202.844625633501,182.896593269881,4,4,8,"Third Priority",15870,1243,52,7832.38815374921,327.662255828607,0.000405788222527409
"Greater Sierra Sacramento","Alpine",10124.5909023742,183.913016904343,92.1092546366877,3,4,7,"Third Priority",1165,128,4,10987.1244635193,343.347639484979,0.0000297884864048161
