"health_officer_region","county","group_var_cat","group_var","group_pop","cumulative_infected","cumulative_severe","inf_rate_100k","sev_rate_100k","total_group_var_pop","total_ca_pop","geo_level"
"Bay Area","Alameda","FEMALE","sex",23781212,76103,2195,320,9,1095053960,39109070,"county"
"Bay Area","Alameda","MALE","sex",22587824,72938,1946,323,9,1095053960,39109070,"county"
"Bay Area","Contra Costa","FEMALE","sex",16546208,52735,1714,319,10,1095053960,39109070,"county"
"Bay Area","Contra Costa","MALE","sex",15556800,50307,1481,323,10,1095053960,39109070,"county"
"Bay Area","Marin","FEMALE","sex",3670744,12264,491,334,13,1095053960,39109070,"county"
"Bay Area","Marin","MALE","sex",3462088,12054,435,348,13,1095053960,39109070,"county"
"Bay Area","Monterey","FEMALE","sex",6242992,21514,678,345,11,1095053960,39109070,"county"
"Bay Area","Monterey","MALE","sex",5978336,22622,629,378,11,1095053960,39109070,"county"
"Bay Area","Napa","FEMALE","sex",1952328,6328,208,324,11,1095053960,39109070,"county"
"Bay Area","Napa","MALE","sex",1813224,6345,194,350,11,1095053960,39109070,"county"
"Bay Area","San Benito","FEMALE","sex",921004,2646,86,287,9,1095053960,39109070,"county"
"Bay Area","San Benito","MALE","sex",901292,2645,74,293,8,1095053960,39109070,"county"
"Bay Area","San Francisco","FEMALE","sex",11790856,42799,1276,363,11,1095053960,39109070,"county"
"Bay Area","San Francisco","MALE","sex",11953676,42317,1103,354,9,1095053960,39109070,"county"
"Bay Area","San Mateo","FEMALE","sex",10664416,34833,1143,327,11,1095053960,39109070,"county"
"Bay Area","San Mateo","MALE","sex",10309684,33153,1009,322,10,1095053960,39109070,"county"
"Bay Area","Santa Clara","FEMALE","sex",26715276,86138,2580,322,10,1095053960,39109070,"county"
"Bay Area","Santa Clara","MALE","sex",26813696,86936,2403,324,9,1095053960,39109070,"county"
"Bay Area","Santa Cruz","FEMALE","sex",3720192,13177,406,354,11,1095053960,39109070,"county"
"Bay Area","Santa Cruz","MALE","sex",3646636,13156,435,361,12,1095053960,39109070,"county"
"Bay Area","Solano","FEMALE","sex",6372436,42584,1292,668,20,1095053960,39109070,"county"
"Bay Area","Solano","MALE","sex",6136424,41744,1185,680,19,1095053960,39109070,"county"
"Bay Area","Sonoma","FEMALE","sex",6925268,23802,873,344,13,1095053960,39109070,"county"
"Bay Area","Sonoma","MALE","sex",6509860,22520,741,346,11,1095053960,39109070,"county"
"Central California","Calaveras","FEMALE","sex",627368,2396,100,382,16,1095053960,39109070,"county"
"Central California","Calaveras","MALE","sex",621572,2280,100,367,16,1095053960,39109070,"county"
"Central California","Fresno","FEMALE","sex",14466144,43119,1157,298,8,1095053960,39109070,"county"
"Central California","Fresno","MALE","sex",13881728,42840,1060,309,8,1095053960,39109070,"county"
"Central California","Kern","FEMALE","sex",12924828,106431,2614,823,20,1095053960,39109070,"county"
"Central California","Kern","MALE","sex",12369588,112123,2414,906,20,1095053960,39109070,"county"
"Central California","Kings","FEMALE","sex",1915872,15532,395,811,21,1095053960,39109070,"county"
"Central California","Kings","MALE","sex",2351468,19283,408,820,17,1095053960,39109070,"county"
"Central California","Madera","FEMALE","sex",2244424,8797,238,392,11,1095053960,39109070,"county"
"Central California","Madera","MALE","sex",2192372,8146,210,372,10,1095053960,39109070,"county"
"Central California","Mariposa","FEMALE","sex",235704,911,36,387,15,1095053960,39109070,"county"
"Central California","Mariposa","MALE","sex",236376,989,41,418,17,1095053960,39109070,"county"
"Central California","Merced","FEMALE","sex",4037908,32051,790,794,20,1095053960,39109070,"county"
"Central California","Merced","MALE","sex",3958892,32540,746,822,19,1095053960,39109070,"county"
"Central California","San Joaquin","FEMALE","sex",11178328,75896,2008,679,18,1095053960,39109070,"county"
"Central California","San Joaquin","MALE","sex",10788456,74365,1827,689,17,1095053960,39109070,"county"
"Central California","Stanislaus","FEMALE","sex",7840084,55046,1569,702,20,1095053960,39109070,"county"
"Central California","Stanislaus","MALE","sex",7439628,53826,1313,724,18,1095053960,39109070,"county"
"Central California","Tulare","FEMALE","sex",6818700,56406,1383,827,20,1095053960,39109070,"county"
"Central California","Tulare","MALE","sex",6475476,56093,1281,866,20,1095053960,39109070,"county"
"Central California","Tuolumne","FEMALE","sex",732956,2636,104,360,14,1095053960,39109070,"county"
"Central California","Tuolumne","MALE","sex",761880,2811,103,369,14,1095053960,39109070,"county"
"Greater Sierra Sacramento","Alpine","FEMALE","sex",15344,63,1,411,7,1095053960,39109070,"county"
"Greater Sierra Sacramento","Alpine","MALE","sex",17276,65,3,376,17,1095053960,39109070,"county"
"Greater Sierra Sacramento","Amador","FEMALE","sex",530516,1646,69,310,13,1095053960,39109070,"county"
"Greater Sierra Sacramento","Amador","MALE","sex",592900,1885,71,318,12,1095053960,39109070,"county"
"Greater Sierra Sacramento","Butte","FEMALE","sex",2984408,10407,355,349,12,1095053960,39109070,"county"
"Greater Sierra Sacramento","Butte","MALE","sex",2779672,10434,329,375,12,1095053960,39109070,"county"
"Greater Sierra Sacramento","Colusa","FEMALE","sex",305816,2284,67,747,22,1095053960,39109070,"county"
"Greater Sierra Sacramento","Colusa","MALE","sex",307524,2343,68,762,22,1095053960,39109070,"county"
"Greater Sierra Sacramento","El Dorado","FEMALE","sex",2667168,9399,361,352,14,1095053960,39109070,"county"
"Greater Sierra Sacramento","El Dorado","MALE","sex",2576812,9519,345,369,13,1095053960,39109070,"county"
"Greater Sierra Sacramento","Nevada","FEMALE","sex",1430940,4988,217,349,15,1095053960,39109070,"county"
"Greater Sierra Sacramento","Nevada","MALE","sex",1380260,4888,182,354,13,1095053960,39109070,"county"
"Greater Sierra Sacramento","Placer","FEMALE","sex",5933508,18724,625,316,11,1095053960,39109070,"county"
"Greater Sierra Sacramento","Placer","MALE","sex",5566260,17955,548,323,10,1095053960,39109070,"county"
"Greater Sierra Sacramento","Plumas","FEMALE","sex",260932,1256,46,481,18,1095053960,39109070,"county"
"Greater Sierra Sacramento","Plumas","MALE","sex",269808,1162,49,431,18,1095053960,39109070,"county"
"Greater Sierra Sacramento","Sacramento","FEMALE","sex",22832040,157146,4500,688,20,1095053960,39109070,"county"
"Greater Sierra Sacramento","Sacramento","MALE","sex",21459228,150142,3823,700,18,1095053960,39109070,"county"
"Greater Sierra Sacramento","Sierra","FEMALE","sex",43120,206,10,478,23,1095053960,39109070,"county"
"Greater Sierra Sacramento","Sierra","MALE","sex",45136,198,11,439,24,1095053960,39109070,"county"
"Greater Sierra Sacramento","Sutter","FEMALE","sex",1379420,9460,267,686,19,1095053960,39109070,"county"
"Greater Sierra Sacramento","Sutter","MALE","sex",1368808,9334,252,682,18,1095053960,39109070,"county"
"Greater Sierra Sacramento","Yolo","FEMALE","sex",3194072,11732,307,367,10,1095053960,39109070,"county"
"Greater Sierra Sacramento","Yolo","MALE","sex",2976596,10738,260,361,9,1095053960,39109070,"county"
"Greater Sierra Sacramento","Yuba","FEMALE","sex",1179136,7263,192,616,16,1095053960,39109070,"county"
"Greater Sierra Sacramento","Yuba","MALE","sex",1153180,7153,176,620,15,1095053960,39109070,"county"
"Los Angeles","Los Angeles","FEMALE","sex",141389500,451545,13684,319,10,1095053960,39109070,"county"
"Los Angeles","Los Angeles","MALE","sex",133730324,434611,11425,325,9,1095053960,39109070,"county"
"Rural North","Del Norte","FEMALE","sex",362516,1240,36,342,10,1095053960,39109070,"county"
"Rural North","Del Norte","MALE","sex",376180,1492,45,397,12,1095053960,39109070,"county"
"Rural North","Glenn","FEMALE","sex",399784,1260,38,315,10,1095053960,39109070,"county"
"Rural North","Glenn","MALE","sex",385308,1278,45,332,12,1095053960,39109070,"county"
"Rural North","Humboldt","FEMALE","sex",1902348,6384,211,336,11,1095053960,39109070,"county"
"Rural North","Humboldt","MALE","sex",1860516,6401,210,344,11,1095053960,39109070,"county"
"Rural North","Lake","FEMALE","sex",918596,3492,129,380,14,1095053960,39109070,"county"
"Rural North","Lake","MALE","sex",941892,3431,134,364,14,1095053960,39109070,"county"
"Rural North","Lassen","FEMALE","sex",279636,1073,43,384,15,1095053960,39109070,"county"
"Rural North","Lassen","MALE","sex",510860,1902,59,372,12,1095053960,39109070,"county"
"Rural North","Mendocino","FEMALE","sex",1259076,4624,163,367,13,1095053960,39109070,"county"
"Rural North","Mendocino","MALE","sex",1241772,4464,176,359,14,1095053960,39109070,"county"
"Rural North","Modoc","FEMALE","sex",116312,495,18,426,15,1095053960,39109070,"county"
"Rural North","Modoc","MALE","sex",120176,516,18,429,15,1095053960,39109070,"county"
"Rural North","Shasta","FEMALE","sex",2547160,8240,308,323,12,1095053960,39109070,"county"
"Rural North","Shasta","MALE","sex",2463664,7974,278,324,11,1095053960,39109070,"county"
"Rural North","Siskiyou","FEMALE","sex",609840,2437,102,400,17,1095053960,39109070,"county"
"Rural North","Siskiyou","MALE","sex",593068,2305,87,389,15,1095053960,39109070,"county"
"Rural North","Tehama","FEMALE","sex",911652,6395,211,701,23,1095053960,39109070,"county"
"Rural North","Tehama","MALE","sex",899304,6250,196,695,22,1095053960,39109070,"county"
"Rural North","Trinity","FEMALE","sex",197288,616,25,312,13,1095053960,39109070,"county"
"Rural North","Trinity","MALE","sex",247072,627,27,254,11,1095053960,39109070,"county"
"Southern California","Imperial","FEMALE","sex",2609908,38987,1050,1494,40,1095053960,39109070,"county"
"Southern California","Imperial","MALE","sex",2419984,39636,909,1638,38,1095053960,39109070,"county"
"Southern California","Inyo","FEMALE","sex",256956,2468,91,960,35,1095053960,39109070,"county"
"Southern California","Inyo","MALE","sex",267512,2569,116,960,43,1095053960,39109070,"county"
"Southern California","Mono","FEMALE","sex",175224,613,18,350,10,1095053960,39109070,"county"
"Southern California","Mono","MALE","sex",196420,631,23,321,12,1095053960,39109070,"county"
"Southern California","Orange","FEMALE","sex",45034892,140731,4305,312,10,1095053960,39109070,"county"
"Southern California","Orange","MALE","sex",42948864,136783,3805,318,9,1095053960,39109070,"county"
"Southern California","Riverside","FEMALE","sex",34736380,109613,3392,316,10,1095053960,39109070,"county"
