"health_officer_region","county","mmwr_week","start_date","end_date","cumulative_infected","cumulative_severe","total_cnty_pop","inf_rate_100k","sev_rate_100k","case_breaks","inf_rate_breaks","sev_case_breaks","sev_rate_breaks"
"Bay Area","Alameda",22,2023-05-28,2023-06-03,450,0,1656037,2.7,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Alameda",23,2023-06-04,2023-06-10,860,0,1656037,5.2,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Alameda",24,2023-06-11,2023-06-17,1271,11,1656037,7.7,0.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Alameda",25,2023-06-18,2023-06-24,2438,20,1656037,14.7,0.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Alameda",26,2023-06-25,2023-07-01,4290,34,1656037,25.9,0.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Alameda",27,2023-07-02,2023-07-08,6493,73,1656037,39.2,0.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Alameda",28,2023-07-09,2023-07-15,9293,126,1656037,56.1,0.8,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Alameda",29,2023-07-16,2023-07-22,11551,179,1656037,69.8,1.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Alameda",30,2023-07-23,2023-07-29,13921,249,1656037,84.1,1.5,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Alameda",31,2023-07-30,2023-08-05,18038,301,1656037,108.9,1.8,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Alameda",32,2023-08-06,2023-08-12,22121,369,1656037,133.6,2.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Alameda",33,2023-08-13,2023-08-19,27494,476,1656037,166,2.9,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Alameda",34,2023-08-20,2023-08-26,35475,585,1656037,214.2,3.5,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Alameda",35,2023-08-27,2023-09-02,48017,732,1656037,290,4.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Alameda",36,2023-09-03,2023-09-09,60370,937,1656037,364.5,5.7,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Alameda",37,2023-09-10,2023-09-16,71848,1278,1656037,433.9,7.7,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Alameda",38,2023-09-17,2023-09-23,84758,1626,1656037,511.8,9.8,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Alameda",39,2023-09-24,2023-09-30,95507,1947,1656037,576.7,11.8,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Alameda",40,2023-10-01,2023-10-07,106397,2276,1656037,642.5,13.7,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Alameda",41,2023-10-08,2023-10-14,116951,2592,1656037,706.2,15.7,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Alameda",42,2023-10-15,2023-10-21,127880,2910,1656037,772.2,17.6,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Alameda",43,2023-10-22,2023-10-28,136695,3199,1656037,825.4,19.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Alameda",44,2023-10-29,2023-11-04,142579,3496,1656037,861,21.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Alameda",45,2023-11-05,2023-11-11,146900,3743,1656037,887.1,22.6,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Alameda",46,2023-11-12,2023-11-18,148320,3920,1656037,895.6,23.7,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Alameda",47,2023-11-19,2023-11-25,148508,4048,1656037,896.8,24.4,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Alameda",48,2023-11-26,2023-12-02,148776,4110,1656037,898.4,24.8,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Alameda",49,2023-12-03,2023-12-09,148776,4127,1656037,898.4,24.9,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Alameda",50,2023-12-10,2023-12-16,149041,4134,1656037,900,25,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Alameda",51,2023-12-17,2023-12-23,149041,4136,1656037,900,25,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Alameda",52,2023-12-24,2023-12-30,149041,4141,1656037,900,25,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Contra Costa",22,2023-05-28,2023-06-03,303,0,1146536,2.6,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Contra Costa",23,2023-06-04,2023-06-10,596,0,1146536,5.2,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Contra Costa",24,2023-06-11,2023-06-17,837,11,1146536,7.3,0.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Contra Costa",25,2023-06-18,2023-06-24,1589,20,1146536,13.9,0.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Contra Costa",26,2023-06-25,2023-07-01,2846,26,1146536,24.8,0.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Contra Costa",27,2023-07-02,2023-07-08,4364,49,1146536,38.1,0.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Contra Costa",28,2023-07-09,2023-07-15,6389,84,1146536,55.7,0.7,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Contra Costa",29,2023-07-16,2023-07-22,7935,131,1146536,69.2,1.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Contra Costa",30,2023-07-23,2023-07-29,9597,181,1146536,83.7,1.6,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Contra Costa",31,2023-07-30,2023-08-05,12549,225,1146536,109.5,2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Contra Costa",32,2023-08-06,2023-08-12,15490,276,1146536,135.1,2.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Contra Costa",33,2023-08-13,2023-08-19,19316,366,1146536,168.5,3.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Contra Costa",34,2023-08-20,2023-08-26,24847,458,1146536,216.7,4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
