"health_officer_region","county","mmwr_year","mmwr_week","start_date","end_date","mnth_lbl","total_ca_pop","total_cnty_pop","cumulative_infected","cumulative_severe","new_infections","new_severe","cum_rate_100k","inf_rate_100k","sev_rate_100k"
"Bay Area","Alameda",2023,22,2023-05-28,2023-06-03,"May",39109070,1656037,6,0,450,0,0.4,27.2,0
"Bay Area","Alameda",2023,23,2023-06-04,2023-06-10,"Jun",39109070,1656037,7,0,410,0,0.4,24.8,0
"Bay Area","Alameda",2023,24,2023-06-11,2023-06-17,"Jun",39109070,1656037,9,1,411,11,0.5,24.8,0.7
"Bay Area","Alameda",2023,25,2023-06-18,2023-06-24,"Jun",39109070,1656037,19,1,1167,9,1.1,70.5,0.5
"Bay Area","Alameda",2023,26,2023-06-25,2023-07-01,"Jun",39109070,1656037,38,1,1852,14,2.3,111.8,0.8
"Bay Area","Alameda",2023,27,2023-07-02,2023-07-08,"Jul",39109070,1656037,63,1,2203,39,3.8,133,2.4
"Bay Area","Alameda",2023,28,2023-07-09,2023-07-15,"Jul",39109070,1656037,86,1,2800,53,5.2,169.1,3.2
"Bay Area","Alameda",2023,29,2023-07-16,2023-07-22,"Jul",39109070,1656037,104,1,2258,53,6.3,136.3,3.2
"Bay Area","Alameda",2023,30,2023-07-23,2023-07-29,"Jul",39109070,1656037,126,1,2370,70,7.6,143.1,4.2
"Bay Area","Alameda",2023,31,2023-07-30,2023-08-05,"Jul",39109070,1656037,161,1,4117,52,9.7,248.6,3.1
"Bay Area","Alameda",2023,32,2023-08-06,2023-08-12,"Aug",39109070,1656037,190,1,4083,68,11.5,246.6,4.1
"Bay Area","Alameda",2023,33,2023-08-13,2023-08-19,"Aug",39109070,1656037,233,1,5373,107,14.1,324.4,6.5
"Bay Area","Alameda",2023,34,2023-08-20,2023-08-26,"Aug",39109070,1656037,302,1,7981,109,18.2,481.9,6.6
"Bay Area","Alameda",2023,35,2023-08-27,2023-09-02,"Aug",39109070,1656037,411,1,12542,147,24.8,757.4,8.9
"Bay Area","Alameda",2023,36,2023-09-03,2023-09-09,"Sep",39109070,1656037,511,1,12353,205,30.9,745.9,12.4
"Bay Area","Alameda",2023,37,2023-09-10,2023-09-16,"Sep",39109070,1656037,609,1,11478,341,36.8,693.1,20.6
"Bay Area","Alameda",2023,38,2023-09-17,2023-09-23,"Sep",39109070,1656037,722,1,12910,348,43.6,779.6,21
"Bay Area","Alameda",2023,39,2023-09-24,2023-09-30,"Sep",39109070,1656037,825,1,10749,321,49.8,649.1,19.4
"Bay Area","Alameda",2023,40,2023-10-01,2023-10-07,"Oct",39109070,1656037,918,1,10890,329,55.4,657.6,19.9
"Bay Area","Alameda",2023,41,2023-10-08,2023-10-14,"Oct",39109070,1656037,1024,2,10554,316,61.8,637.3,19.1
"Bay Area","Alameda",2023,42,2023-10-15,2023-10-21,"Oct",39109070,1656037,1126,2,10929,318,68,659.9,19.2
"Bay Area","Alameda",2023,43,2023-10-22,2023-10-28,"Oct",39109070,1656037,1227,2,8815,289,74.1,532.3,17.5
"Bay Area","Alameda",2023,44,2023-10-29,2023-11-04,"Oct",39109070,1656037,1276,2,5884,297,77.1,355.3,17.9
"Bay Area","Alameda",2023,45,2023-11-05,2023-11-11,"Nov",39109070,1656037,1314,2,4321,247,79.3,260.9,14.9
"Bay Area","Alameda",2023,46,2023-11-12,2023-11-18,"Nov",39109070,1656037,1325,2,1420,177,80,85.7,10.7
"Bay Area","Alameda",2023,47,2023-11-19,2023-11-25,"Nov",39109070,1656037,1327,2,188,128,80.1,11.4,7.7
"Bay Area","Alameda",2023,48,2023-11-26,2023-12-02,"Nov",39109070,1656037,1328,2,268,62,80.2,16.2,3.7
"Bay Area","Alameda",2023,49,2023-12-03,2023-12-09,"Dec",39109070,1656037,1328,2,0,17,80.2,0,1
"Bay Area","Alameda",2023,50,2023-12-10,2023-12-16,"Dec",39109070,1656037,1329,2,265,7,80.3,16,0.4
"Bay Area","Alameda",2023,51,2023-12-17,2023-12-23,"Dec",39109070,1656037,1329,2,0,2,80.3,0,0.1
"Bay Area","Alameda",2023,52,2023-12-24,2023-12-30,"Dec",39109070,1656037,1329,2,0,5,80.3,0,0.3
"Bay Area","Contra Costa",2023,22,2023-05-28,2023-06-03,"May",39109070,1146536,4,0,303,0,0.3,26.4,0
"Bay Area","Contra Costa",2023,23,2023-06-04,2023-06-10,"Jun",39109070,1146536,11,0,293,0,1,25.6,0
"Bay Area","Contra Costa",2023,24,2023-06-11,2023-06-17,"Jun",39109070,1146536,13,0,241,11,1.1,21,1
"Bay Area","Contra Costa",2023,25,2023-06-18,2023-06-24,"Jun",39109070,1146536,20,0,752,9,1.7,65.6,0.8
"Bay Area","Contra Costa",2023,26,2023-06-25,2023-07-01,"Jun",39109070,1146536,36,0,1257,6,3.1,109.6,0.5
"Bay Area","Contra Costa",2023,27,2023-07-02,2023-07-08,"Jul",39109070,1146536,60,0,1518,23,5.2,132.4,2
"Bay Area","Contra Costa",2023,28,2023-07-09,2023-07-15,"Jul",39109070,1146536,81,0,2025,35,7.1,176.6,3.1
"Bay Area","Contra Costa",2023,29,2023-07-16,2023-07-22,"Jul",39109070,1146536,98,0,1546,47,8.5,134.8,4.1
"Bay Area","Contra Costa",2023,30,2023-07-23,2023-07-29,"Jul",39109070,1146536,124,0,1662,50,10.8,145,4.4
"Bay Area","Contra Costa",2023,31,2023-07-30,2023-08-05,"Jul",39109070,1146536,164,0,2952,44,14.3,257.5,3.8
"Bay Area","Contra Costa",2023,32,2023-08-06,2023-08-12,"Aug",39109070,1146536,202,0,2941,51,17.6,256.5,4.4
"Bay Area","Contra Costa",2023,33,2023-08-13,2023-08-19,"Aug",39109070,1146536,250,1,3826,90,21.8,333.7,7.8
"Bay Area","Contra Costa",2023,34,2023-08-20,2023-08-26,"Aug",39109070,1146536,323,1,5531,92,28.2,482.4,8
"Bay Area","Contra Costa",2023,35,2023-08-27,2023-09-02,"Aug",39109070,1146536,409,1,8625,102,35.7,752.3,8.9
"Bay Area","Contra Costa",2023,36,2023-09-03,2023-09-09,"Sep",39109070,1146536,512,1,8437,138,44.7,735.9,12
"Bay Area","Contra Costa",2023,37,2023-09-10,2023-09-16,"Sep",39109070,1146536,603,1,7981,257,52.6,696.1,22.4
"Bay Area","Contra Costa",2023,38,2023-09-17,2023-09-23,"Sep",39109070,1146536,700,1,8932,264,61.1,779,23
"Bay Area","Contra Costa",2023,39,2023-09-24,2023-09-30,"Sep",39109070,1146536,775,1,7388,266,67.6,644.4,23.2
"Bay Area","Contra Costa",2023,40,2023-10-01,2023-10-07,"Oct",39109070,1146536,863,1,7390,288,75.3,644.6,25.1
"Bay Area","Contra Costa",2023,41,2023-10-08,2023-10-14,"Oct",39109070,1146536,961,1,7338,248,83.8,640,21.6
"Bay Area","Contra Costa",2023,42,2023-10-15,2023-10-21,"Oct",39109070,1146536,1053,1,7622,222,91.8,664.8,19.4
"Bay Area","Contra Costa",2023,43,2023-10-22,2023-10-28,"Oct",39109070,1146536,1134,1,6076,223,98.9,529.9,19.4
"Bay Area","Contra Costa",2023,44,2023-10-29,2023-11-04,"Oct",39109070,1146536,1185,1,4014,250,103.4,350.1,21.8
"Bay Area","Contra Costa",2023,45,2023-11-05,2023-11-11,"Nov",39109070,1146536,1216,1,2873,166,106.1,250.6,14.5
"Bay Area","Contra Costa",2023,46,2023-11-12,2023-11-18,"Nov",39109070,1146536,1227,1,1019,130,107,88.9,11.3
"Bay Area","Contra Costa",2023,47,2023-11-19,2023-11-25,"Nov",39109070,1146536,1230,1,129,115,107.3,11.3,10
"Bay Area","Contra Costa",2023,48,2023-11-26,2023-12-02,"Nov",39109070,1146536,1231,1,196,41,107.4,17.1,3.6
"Bay Area","Contra Costa",2023,49,2023-12-03,2023-12-09,"Dec",39109070,1146536,1231,1,0,17,107.4,0,1.5
"Bay Area","Contra Costa",2023,50,2023-12-10,2023-12-16,"Dec",39109070,1146536,1235,1,175,4,107.7,15.3,0.3
"Bay Area","Contra Costa",2023,51,2023-12-17,2023-12-23,"Dec",39109070,1146536,1235,1,0,1,107.7,0,0.1
"Bay Area","Contra Costa",2023,52,2023-12-24,2023-12-30,"Dec",39109070,1146536,1235,1,0,5,107.7,0,0.4
"Bay Area","Marin",2023,22,2023-05-28,2023-06-03,"May",39109070,254744,0,0,71,0,0,27.9,0
"Bay Area","Marin",2023,23,2023-06-04,2023-06-10,"Jun",39109070,254744,3,0,63,0,1.2,24.7,0
"Bay Area","Marin",2023,24,2023-06-11,2023-06-17,"Jun",39109070,254744,4,0,66,1,1.6,25.9,0.4
"Bay Area","Marin",2023,25,2023-06-18,2023-06-24,"Jun",39109070,254744,5,0,171,2,2,67.1,0.8
"Bay Area","Marin",2023,26,2023-06-25,2023-07-01,"Jun",39109070,254744,9,0,301,2,3.5,118.2,0.8
"Bay Area","Marin",2023,27,2023-07-02,2023-07-08,"Jul",39109070,254744,18,0,371,5,7.1,145.6,2
"Bay Area","Marin",2023,28,2023-07-09,2023-07-15,"Jul",39109070,254744,26,0,479,11,10.2,188,4.3
"Bay Area","Marin",2023,29,2023-07-16,2023-07-22,"Jul",39109070,254744,34,0,368,16,13.3,144.5,6.3
"Bay Area","Marin",2023,30,2023-07-23,2023-07-29,"Jul",39109070,254744,38,0,422,8,14.9,165.7,3.1
"Bay Area","Marin",2023,31,2023-07-30,2023-08-05,"Jul",39109070,254744,46,0,670,14,18.1,263,5.5
"Bay Area","Marin",2023,32,2023-08-06,2023-08-12,"Aug",39109070,254744,57,0,667,14,22.4,261.8,5.5
"Bay Area","Marin",2023,33,2023-08-13,2023-08-19,"Aug",39109070,254744,70,0,899,24,27.5,352.9,9.4
"Bay Area","Marin",2023,34,2023-08-20,2023-08-26,"Aug",39109070,254744,86,0,1383,23,33.8,542.9,9
"Bay Area","Marin",2023,35,2023-08-27,2023-09-02,"Aug",39109070,254744,112,0,2114,21,44,829.9,8.2
"Bay Area","Marin",2023,36,2023-09-03,2023-09-09,"Sep",39109070,254744,148,0,1961,43,58.1,769.8,16.9
"Bay Area","Marin",2023,37,2023-09-10,2023-09-16,"Sep",39109070,254744,179,0,1887,80,70.3,740.7,31.4
"Bay Area","Marin",2023,38,2023-09-17,2023-09-23,"Sep",39109070,254744,218,0,2133,76,85.6,837.3,29.8
"Bay Area","Marin",2023,39,2023-09-24,2023-09-30,"Sep",39109070,254744,248,0,1703,77,97.4,668.5,30.2
"Bay Area","Marin",2023,40,2023-10-01,2023-10-07,"Oct",39109070,254744,272,0,1707,72,106.8,670.1,28.3
"Bay Area","Marin",2023,41,2023-10-08,2023-10-14,"Oct",39109070,254744,301,0,1706,88,118.2,669.7,34.5
"Bay Area","Marin",2023,42,2023-10-15,2023-10-21,"Oct",39109070,254744,334,0,1806,62,131.1,708.9,24.3
"Bay Area","Marin",2023,43,2023-10-22,2023-10-28,"Oct",39109070,254744,364,0,1431,81,142.9,561.7,31.8
"Bay Area","Marin",2023,44,2023-10-29,2023-11-04,"Oct",39109070,254744,373,0,911,66,146.4,357.6,25.9
"Bay Area","Marin",2023,45,2023-11-05,2023-11-11,"Nov",39109070,254744,388,0,682,52,152.3,267.7,20.4
