"mmwr_year","mmwr_week","start_date","end_date","mnth_lbl","total_ca_pop","cumulative_infected","cumulative_severe","new_infections","new_severe","cum_rate_100k","inf_rate_100k","sev_rate_100k","health_officer_region","county","total_cnty_pop"
2023,22,2023-05-28,2023-06-03,"May",39109070,13875,0,13875,0,35.5,35.5,0,"Statewide","Statewide",NA
2023,23,2023-06-04,2023-06-10,"Jun",39109070,27664,0,13789,0,70.7,35.3,0,"Statewide","Statewide",NA
2023,24,2023-06-11,2023-06-17,"Jun",39109070,39741,360,12077,360,101.6,30.9,0.9,"Statewide","Statewide",NA
2023,25,2023-06-18,2023-06-24,"Jun",39109070,75283,732,35542,372,192.5,90.9,1,"Statewide","Statewide",NA
2023,26,2023-06-25,2023-07-01,"Jun",39109070,133839,1091,58556,359,342.2,149.7,0.9,"Statewide","Statewide",NA
2023,27,2023-07-02,2023-07-08,"Jul",39109070,203555,1971,69716,880,520.5,178.3,2.3,"Statewide","Statewide",NA
2023,28,2023-07-09,2023-07-15,"Jul",39109070,294661,3435,91106,1464,753.4,233,3.7,"Statewide","Statewide",NA
2023,29,2023-07-16,2023-07-22,"Jul",39109070,365574,5374,70913,1939,934.8,181.3,5,"Statewide","Statewide",NA
2023,30,2023-07-23,2023-07-29,"Jul",39109070,441588,7773,76014,2399,1129.1,194.4,6.1,"Statewide","Statewide",NA
2023,31,2023-07-30,2023-08-05,"Jul",39109070,574368,9805,132780,2032,1468.6,339.5,5.2,"Statewide","Statewide",NA
2023,32,2023-08-06,2023-08-12,"Aug",39109070,706919,11984,132551,2179,1807.6,338.9,5.6,"Statewide","Statewide",NA
2023,33,2023-08-13,2023-08-19,"Aug",39109070,874442,15505,167523,3521,2235.9,428.3,9,"Statewide","Statewide",NA
2023,34,2023-08-20,2023-08-26,"Aug",39109070,1124709,19105,250267,3600,2875.8,639.9,9.2,"Statewide","Statewide",NA
2023,35,2023-08-27,2023-09-02,"Aug",39109070,1510860,23388,386151,4283,3863.2,987.4,11,"Statewide","Statewide",NA
2023,36,2023-09-03,2023-09-09,"Sep",39109070,1887873,29902,377013,6514,4827.2,964,16.7,"Statewide","Statewide",NA
2023,37,2023-09-10,2023-09-16,"Sep",39109070,2237245,39895,349372,9993,5720.5,893.3,25.6,"Statewide","Statewide",NA
2023,38,2023-09-17,2023-09-23,"Sep",39109070,2632682,50360,395437,10465,6731.6,1011.1,26.8,"Statewide","Statewide",NA
2023,39,2023-09-24,2023-09-30,"Sep",39109070,2956666,60397,323984,10037,7560.1,828.4,25.7,"Statewide","Statewide",NA
2023,40,2023-10-01,2023-10-07,"Oct",39109070,3281996,71255,325330,10858,8391.9,831.9,27.8,"Statewide","Statewide",NA
2023,41,2023-10-08,2023-10-14,"Oct",39109070,3600287,80593,318291,9338,9205.8,813.9,23.9,"Statewide","Statewide",NA
2023,42,2023-10-15,2023-10-21,"Oct",39109070,3924826,89695,324539,9102,10035.6,829.8,23.3,"Statewide","Statewide",NA
2023,43,2023-10-22,2023-10-28,"Oct",39109070,4185531,98424,260705,8729,10702.2,666.6,22.3,"Statewide","Statewide",NA
2023,44,2023-10-29,2023-11-04,"Oct",39109070,4360393,107409,174862,8985,11149.3,447.1,23,"Statewide","Statewide",NA
2023,45,2023-11-05,2023-11-11,"Nov",39109070,4485187,114877,124794,7468,11468.4,319.1,19.1,"Statewide","Statewide",NA
2023,46,2023-11-12,2023-11-18,"Nov",39109070,4528237,120228,43050,5351,11578.5,110.1,13.7,"Statewide","Statewide",NA
2023,47,2023-11-19,2023-11-25,"Nov",39109070,4533887,124097,5650,3869,11592.9,14.4,9.9,"Statewide","Statewide",NA
2023,48,2023-11-26,2023-12-02,"Nov",39109070,4541720,125904,7833,1807,11613,20,4.6,"Statewide","Statewide",NA
2023,49,2023-12-03,2023-12-09,"Dec",39109070,4541720,126403,0,499,11613,0,1.3,"Statewide","Statewide",NA
2023,50,2023-12-10,2023-12-16,"Dec",39109070,4549583,126683,7863,280,11633.1,20.1,0.7,"Statewide","Statewide",NA
2023,51,2023-12-17,2023-12-23,"Dec",39109070,4549583,126723,0,40,11633.1,0,0.1,"Statewide","Statewide",NA
2023,52,2023-12-24,2023-12-30,"Dec",39109070,4549583,126926,0,203,11633.1,0,0.5,"Statewide","Statewide",NA
