"county","lng","lat"
"Los Angeles",-118.224854223579,34.3208083574764
"Santa Cruz",-122.001535401788,37.0562615169846
"Sonoma",-122.887412547368,38.5288386542165
"Contra Costa",-121.927482322099,37.9192588527547
"Alpine",-119.820618999266,38.5970507865517
"Nevada",-120.769619845234,39.3016800701337
"Butte",-121.600711397236,39.6665785201209
"Shasta",-122.041362390442,40.7637056398577
"Merced",-120.718419392929,37.1916838296034
"Calaveras",-120.554675597574,38.2044484260287
"Lake",-122.752765216137,39.0994576679259
"Yuba",-121.351806405269,39.268757888557
"San Diego",-116.734697201908,33.034097870685
"Riverside",-115.99387597654,33.7463655607414
"Marin",-122.723296673134,38.0734357798766
"San Mateo",-122.328930415481,37.4225622861037
"El Dorado",-120.525061028559,38.7789158204234
"Tulare",-118.800354844627,36.2199821350079
"Sacramento",-121.344521545039,38.4490509818649
"San Benito",-121.074055871036,36.6054868954532
"Amador",-120.651662838911,38.4466096585358
"Sutter",-121.694516723995,39.0342938700488
"Yolo",-121.900528434262,38.6865213968602
"Colusa",-122.23666211023,39.1774455004831
"Plumas",-120.837871922076,40.0046537594828
"Stanislaus",-120.998515939403,37.5589317136467
"Trinity",-123.114066958481,40.649222461836
"San Bernardino",-116.176676203872,34.8417042669171
"Alameda",-121.88848775137,37.6469130435565
"Mono",-118.884080178852,37.9385417592881
"Monterey",-121.236746273282,36.2167613366724
"Inyo",-117.405629082081,36.510130225544
"Santa Clara",-121.694699666821,37.2317381792337
"Humboldt",-123.87616394285,40.697134197505
"Sierra",-120.516104257656,39.5806694617004
"Madera",-119.764817031824,37.2177478634017
"San Joaquin",-121.271649896373,37.9344396817737
"Fresno",-119.653381446256,36.7585214369037
"Ventura",-119.083384814556,34.4555921875881
"Siskiyou",-122.54039667681,41.5935115323399
"Mendocino",-123.391225571972,39.438794226054
"Glenn",-122.391801493733,39.598289262762
"Del Norte",-123.897135801884,41.742830535349
"Imperial",-115.365360520735,33.0397321033988
"Placer",-120.719066619786,39.0638409115195
"Mariposa",-119.905864755032,37.5814671182865
"Napa",-122.330481982493,38.5066586692575
"Santa Barbara",-120.016580679127,34.6726202089934
"Tuolumne",-119.954943362697,38.0276430265869
"Orange",-117.760701425331,33.7029854227331
"San Luis Obispo",-120.402879536201,35.3871061066155
"Solano",-121.933008709243,38.2698478424909
"Modoc",-120.725004723555,41.5897429142855
"Kern",-118.72910662973,35.3434726082512
"Kings",-119.815817368698,36.0749782100218
"Tehama",-122.234702438205,40.1259786153877
"Lassen",-120.593214245523,40.6727115309322
"San Francisco",-122.445035262959,37.7555919454479
