"health_officer_region","county","mmwr_week","start_date","end_date","cumulative_infected","cumulative_severe","total_cnty_pop","inf_rate_100k","sev_rate_100k","case_breaks_bins","case_breaks","inf_rate_breaks_bins","inf_rate_breaks","sev_case_breaks_bins","sev_case_breaks","sev_rate_breaks_bins","sev_rate_breaks"
"Bay Area","Alameda",22,2023-05-28,2023-06-03,450,0,1656037,27.2,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Alameda",23,2023-06-04,2023-06-10,860,0,1656037,51.9,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Alameda",24,2023-06-11,2023-06-17,1271,11,1656037,76.7,0.7,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Alameda",25,2023-06-18,2023-06-24,2438,20,1656037,147.2,1.2,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Alameda",26,2023-06-25,2023-07-01,4290,34,1656037,259.1,2.1,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Alameda",27,2023-07-02,2023-07-08,6493,73,1656037,392.1,4.4,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Alameda",28,2023-07-09,2023-07-15,9293,126,1656037,561.2,7.6,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Alameda",29,2023-07-16,2023-07-22,11551,179,1656037,697.5,10.8,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Alameda",30,2023-07-23,2023-07-29,13921,249,1656037,840.6,15,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Alameda",31,2023-07-30,2023-08-05,18038,301,1656037,1089.2,18.2,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Alameda",32,2023-08-06,2023-08-12,22121,369,1656037,1335.8,22.3,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Alameda",33,2023-08-13,2023-08-19,27494,476,1656037,1660.2,28.7,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Alameda",34,2023-08-20,2023-08-26,35475,585,1656037,2142.2,35.3,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Alameda",35,2023-08-27,2023-09-02,48017,732,1656037,2899.5,44.2,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Alameda",36,2023-09-03,2023-09-09,60370,937,1656037,3645.4,56.6,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Alameda",37,2023-09-10,2023-09-16,71848,1278,1656037,4338.6,77.2,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Alameda",38,2023-09-17,2023-09-23,84758,1626,1656037,5118.1,98.2,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Alameda",39,2023-09-24,2023-09-30,95507,1947,1656037,5767.2,117.6,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Alameda",40,2023-10-01,2023-10-07,106397,2276,1656037,6424.8,137.4,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Alameda",41,2023-10-08,2023-10-14,116951,2592,1656037,7062.1,156.5,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Alameda",42,2023-10-15,2023-10-21,127880,2910,1656037,7722,175.7,"126,593 - 253,187","127K - 253K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Alameda",43,2023-10-22,2023-10-28,136695,3199,1656037,8254.3,193.2,"126,593 - 253,187","127K - 253K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Alameda",44,2023-10-29,2023-11-04,142579,3496,1656037,8609.7,211.1,"126,593 - 253,187","127K - 253K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Alameda",45,2023-11-05,2023-11-11,146900,3743,1656037,8870.6,226,"126,593 - 253,187","127K - 253K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Alameda",46,2023-11-12,2023-11-18,148320,3920,1656037,8956.3,236.7,"126,593 - 253,187","127K - 253K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Alameda",47,2023-11-19,2023-11-25,148508,4048,1656037,8967.7,244.4,"126,593 - 253,187","127K - 253K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Alameda",48,2023-11-26,2023-12-02,148776,4110,1656037,8983.9,248.2,"126,593 - 253,187","127K - 253K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Alameda",49,2023-12-03,2023-12-09,148776,4127,1656037,8983.9,249.2,"126,593 - 253,187","127K - 253K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Alameda",50,2023-12-10,2023-12-16,149041,4134,1656037,8999.9,249.6,"126,593 - 253,187","127K - 253K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Alameda",51,2023-12-17,2023-12-23,149041,4136,1656037,8999.9,249.8,"126,593 - 253,187","127K - 253K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Alameda",52,2023-12-24,2023-12-30,149041,4141,1656037,8999.9,250.1,"126,593 - 253,187","127K - 253K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Contra Costa",22,2023-05-28,2023-06-03,303,0,1146536,26.4,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Contra Costa",23,2023-06-04,2023-06-10,596,0,1146536,52,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Contra Costa",24,2023-06-11,2023-06-17,837,11,1146536,73,1,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Contra Costa",25,2023-06-18,2023-06-24,1589,20,1146536,138.6,1.7,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
