"health_officer_region","mmwr_week","start_date","end_date","cumulative_infected","cumulative_severe","total_HOR_pop","inf_rate_100k","sev_rate_100k","case_breaks_bins","case_breaks","inf_rate_breaks_bins","inf_rate_breaks","sev_case_breaks_bins","sev_case_breaks","sev_rate_breaks_bins","sev_rate_breaks","lng","lat"
"Bay Area",22,2023-05-28,2023-06-03,2495,0,8391874,29.7,0,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-121.816315545145,37.3215838618162
"Bay Area",23,2023-06-04,2023-06-10,4842,0,8391874,57.7,0,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-121.816315545145,37.3215838618162
"Bay Area",24,2023-06-11,2023-06-17,6927,69,8391874,82.5,0.8,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-121.816315545145,37.3215838618162
"Bay Area",25,2023-06-18,2023-06-24,13184,132,8391874,157.1,1.6,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-121.816315545145,37.3215838618162
"Bay Area",26,2023-06-25,2023-07-01,23312,189,8391874,277.8,2.3,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-121.816315545145,37.3215838618162
"Bay Area",27,2023-07-02,2023-07-08,35593,367,8391874,424.1,4.4,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-121.816315545145,37.3215838618162
"Bay Area",28,2023-07-09,2023-07-15,51504,645,8391874,613.7,7.7,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-121.816315545145,37.3215838618162
"Bay Area",29,2023-07-16,2023-07-22,64100,1026,8391874,763.8,12.2,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-121.816315545145,37.3215838618162
"Bay Area",30,2023-07-23,2023-07-29,77436,1479,8391874,922.7,17.6,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-121.816315545145,37.3215838618162
"Bay Area",31,2023-07-30,2023-08-05,100927,1870,8391874,1202.7,22.3,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-121.816315545145,37.3215838618162
"Bay Area",32,2023-08-06,2023-08-12,124228,2286,8391874,1480.3,27.2,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-121.816315545145,37.3215838618162
"Bay Area",33,2023-08-13,2023-08-19,154181,2939,8391874,1837.3,35,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-121.816315545145,37.3215838618162
"Bay Area",34,2023-08-20,2023-08-26,198816,3622,8391874,2369.1,43.2,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-121.816315545145,37.3215838618162
"Bay Area",35,2023-08-27,2023-09-02,267743,4430,8391874,3190.5,52.8,2,"215K - 430K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-121.816315545145,37.3215838618162
"Bay Area",36,2023-09-03,2023-09-09,335420,5653,8391874,3997,67.4,2,"215K - 430K",2,"4K - 7K",1,"0 - 8K",1,"0 - 89",-121.816315545145,37.3215838618162
"Bay Area",37,2023-09-10,2023-09-16,398309,7529,8391874,4746.4,89.7,2,"215K - 430K",2,"4K - 7K",1,"0 - 8K",1,"0 - 89",-121.816315545145,37.3215838618162
"Bay Area",38,2023-09-17,2023-09-23,469888,9573,8391874,5599.3,114.1,3,"430K - 645K",2,"4K - 7K",2,"8K - 17K",2,"89 - 179",-121.816315545145,37.3215838618162
"Bay Area",39,2023-09-24,2023-09-30,528762,11493,8391874,6300.9,137,3,"430K - 645K",2,"4K - 7K",2,"8K - 17K",2,"89 - 179",-121.816315545145,37.3215838618162
"Bay Area",40,2023-10-01,2023-10-07,588007,13605,8391874,7006.9,162.1,3,"430K - 645K",2,"4K - 7K",2,"8K - 17K",2,"89 - 179",-121.816315545145,37.3215838618162
